Latitude,Longitude,10 Mi Quakes,25 Mi Quakes,50 Mi Quakes,Max Mag 10 Mi,Max Mag 25 Mi,Max Mag 50 Mi,Time D 10Mi,Time D 25Mi,Time D 50Mi,T 10Mi,T 25Mi,T 50Mi
38.1797,-117.8668,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.4241667,-125.29283329999998,1,1,5,4.34,4.34,4.34,19820.0,19820.0,19820.0,4.39,4.39,4.39
39.1208344,-120.0285034,6,6,9,3.7,3.7,4.65,1067180.0,1067180.0,69869.0,2.6,2.6,2.6
38.1516,-118.1049,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
35.3645,-117.89383329999998,0,0,4,0.0,0.0,2.8,-1.0,-1.0,147931.0,2.81,2.81,3.27
36.796833299999996,-121.527,0,0,7,0.0,0.0,3.13,-1.0,-1.0,310312.0,0.0,0.0,2.85
38.1797,-117.8668,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
32.824,-116.0835,0,0,1,0.0,0.0,3.0,-1.0,-1.0,52903.0,0.0,0.0,0.0
36.006666700000004,-120.5775,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.9661667,-116.978,0,0,2,0.0,0.0,2.58,-1.0,-1.0,2430179.0,0.0,0.0,0.0
33.8243333,-116.99466670000001,1,2,4,3.29,3.29,3.29,309894.0,309894.0,309894.0,2.79,3.11,3.11
36.655,-116.2676,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,4.1
35.9715,-120.52333329999999,0,0,1,0.0,0.0,2.52,-1.0,-1.0,2113218.0,2.72,2.72,2.72
38.1614,-117.8439,0,0,1,0.0,0.0,2.86,-1.0,-1.0,1811538.0,0.0,0.0,0.0
38.169000000000004,-117.9386,0,0,1,0.0,0.0,2.91,-1.0,-1.0,35818.0,0.0,0.0,0.0
35.799833299999996,-117.62416670000002,3,6,11,2.78,3.27,4.02,1455604.0,146945.0,250183.0,3.2,3.54,3.54
36.6201667,-121.23100000000001,7,7,7,4.32,4.32,4.32,49852.0,49852.0,49852.0,3.36,3.36,3.36
34.1475,-116.44516670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.5601667,-118.0,0,3,7,0.0,4.03,4.03,-1.0,993770.0,993770.0,3.49,3.49,3.49
38.1703,-118.0717,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,3.69,3.69
35.9698333,-117.32066670000002,0,1,1,0.0,2.8,2.8,-1.0,851061.0,851061.0,0.0,0.0,0.0
39.246,-123.09733329999999,0,1,5,0.0,2.8,2.97,-1.0,1813733.0,820892.0,2.64,2.64,2.64
40.303000000000004,-124.60016670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.82,3.23,4.39
37.9133333,-118.541,1,1,10,2.86,2.86,3.9,16.0,16.0,440051.0,3.9,3.9,3.9
38.1702,-117.8406,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.5268333,-121.89533329999999,1,1,6,3.22,3.22,4.2,151978.0,151978.0,2041024.0,2.68,2.68,3.76
38.1519,-117.9548,14,20,36,3.9,3.9,3.9,1465526.0,1465526.0,1465526.0,3.8,3.8,3.8
38.0696678,-118.69466399999999,0,1,24,0.0,2.5,4.4,-1.0,743379.0,2122243.0,2.7,2.7,3.2
38.1694,-117.8986,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
